City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,newman,37.3138,-121.0208,20.99,57,18,4.02,US,1687492109
203,eenhana,-17.4667,16.3333,9.69,27,0,3.26,NA,1687492109
204,tereze,43.9361,42.4434,14.04,83,100,1.64,RU,1687492110
205,fort bragg,35.139,-79.006,23.08,97,75,1.54,US,1687492110
206,letlhakane,-21.4167,25.5833,10.39,87,0,4.34,BW,1687492110
207,torrox,36.7579,-3.9523,23.54,59,0,1.34,ES,1687492110
208,kruisfontein,-34.0033,24.7314,7.71,78,0,3.5,ZA,1687492111
209,ilulissat,69.2167,-51.1,1.01,86,75,2.06,GL,1687492111
210,nagqu,31.5,92.0,10.66,19,1,0.53,CN,1687492111
211,iskateley,67.6803,53.1512,9.38,65,61,3.33,RU,1687492111
212,tekkali,18.6167,84.2333,27.13,82,100,1.22,IN,1687492112
213,klyuchi,52.2667,79.1667,17.24,39,87,4.29,RU,1687492112
214,okhotsk,59.3833,143.3,16.44,64,24,3.67,RU,1687492112
215,melchor de mencos,17.0686,-89.1522,29.0,74,100,5.14,GT,1687492113
216,savran,48.1322,30.0825,21.47,65,50,3.04,UA,1687492113
217,mount isa,-20.7333,139.5,26.87,22,83,2.06,AU,1687492092
218,hamilton,39.1834,-84.5333,20.25,85,100,0.45,US,1687492084
219,hithadhoo,-0.6,73.0833,26.95,77,100,2.83,MV,1687492114
220,saint-pierre,-21.3393,55.4781,20.87,73,0,3.09,RE,1687492115
221,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,38,0,4.0,RU,1687492115
222,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1687492115
223,conception bay south,47.4999,-52.9981,16.14,81,86,4.44,CA,1687492001
224,shaowu,27.3409,117.4831,23.87,98,100,1.01,CN,1687492016
225,mao,39.8885,4.2658,23.31,78,0,8.75,ES,1687492116
226,yulin,22.6333,110.15,28.93,80,100,3.12,CN,1687492117
227,cabo san lucas,22.8909,-109.9124,28.06,71,0,2.57,MX,1687492117
228,chebba,35.2372,11.115,25.69,48,0,2.22,TN,1687492117
229,dudinka,69.4058,86.1778,11.46,72,98,4.41,RU,1687492117
230,betioky,-23.7167,44.3833,14.75,95,10,2.21,MG,1687492117
231,yuzhno-kurilsk,44.0306,145.8556,14.53,78,100,2.4,RU,1687492118
232,olonkinbyen,70.9221,-8.7187,3.1,83,85,4.11,SJ,1687492088
233,qeshm,26.9581,56.2719,31.93,77,57,3.5,IR,1687492118
234,tazovsky,67.4667,78.7,5.22,73,100,2.81,RU,1687492119
235,colonia general alfredo stroessner,-25.3667,-55.7,17.68,97,92,1.66,PY,1687492119
236,cave spring,37.2276,-80.0128,18.29,97,100,1.54,US,1687492119
237,talnakh,69.4865,88.3972,11.23,76,93,1.04,RU,1687492120
238,aden,12.7794,45.0367,30.67,70,0,4.41,YE,1687492120
239,kijang,35.2442,129.2139,26.85,78,23,3.87,KR,1687492120
240,mbanza-ngungu,-5.25,14.8667,16.37,99,35,2.61,CD,1687492121
241,banda aceh,5.5577,95.3222,29.91,61,68,3.15,ID,1687492121
242,arraial do cabo,-22.9661,-42.0278,20.67,77,16,10.29,BR,1687492122
243,thinadhoo,0.5333,72.9333,27.27,78,100,3.62,MV,1687492122
244,tolanaro,-25.0319,46.9987,19.04,94,40,5.14,MG,1687492122
245,port alfred,-33.5906,26.891,10.66,83,3,8.52,ZA,1687492123
246,narrabri,-30.3167,149.7833,16.4,51,5,2.68,AU,1687492123
247,ampanihy,-24.7,44.75,17.84,75,87,4.52,MG,1687492123
248,margineni-munteni,46.6,26.9,18.1,88,0,1.03,RO,1687492124
249,touros,-5.1989,-35.4608,24.13,83,2,5.27,BR,1687491902
250,berezovyy,51.6667,135.7,20.79,72,100,1.12,RU,1687492124
251,concepcion del oro,24.6333,-101.4167,23.68,31,76,5.99,MX,1687492125
252,keflavik,64.0049,-22.5624,12.95,100,100,12.35,IS,1687492125
253,kormilovka,55.0026,74.1028,10.21,72,100,2.77,RU,1687492126
254,anshun,26.25,105.9333,16.37,93,100,1.67,CN,1687491977
255,vila franca do campo,37.7167,-25.4333,20.23,94,68,3.77,PT,1687492126
256,jianjiang,26.5497,119.755,23.07,93,100,4.1,CN,1687492126
257,lakatoro,-16.0999,167.4164,25.22,68,95,3.77,VU,1687492127
258,cooma,-36.2333,149.1333,7.76,61,83,6.18,AU,1687492127
259,borken,51.85,6.8667,16.95,99,98,4.16,DE,1687491722
260,cockburn town,21.4612,-71.1419,28.24,86,56,10.37,TC,1687492052
261,antsiranana,-12.2787,49.2917,21.42,64,20,4.12,MG,1687492127
262,gazi,35.3253,25.0669,25.89,60,0,2.57,GR,1687492127
263,kone,-21.0595,164.8658,23.71,53,67,3.83,NC,1687492128
264,saint-joseph,-21.3667,55.6167,20.26,73,45,4.22,RE,1687492128
265,ishim,56.1128,69.4902,9.78,70,99,2.28,RU,1687491898
266,inirida,3.8653,-67.9239,23.27,98,85,0.89,CO,1687492128
267,gaspe,48.8334,-64.4819,23.12,60,100,3.09,CA,1687492128
268,lyantonde,-0.4031,31.1572,18.51,84,95,1.07,UG,1687492129
269,zaysan,47.4667,84.8667,25.74,19,86,2.79,KZ,1687492129
270,kolobrzeg,54.1757,15.5834,17.31,65,100,3.31,PL,1687491910
271,ephrata,40.1798,-76.1788,19.17,82,100,2.57,US,1687492084
272,taoudenni,22.6783,-3.9836,34.61,10,2,6.68,ML,1687492130
273,muriti,-1.9833,32.9167,23.2,66,100,4.15,TZ,1687492130
274,saint-philippe,-21.3585,55.7679,19.77,76,54,5.47,RE,1687492130
275,colonia,50.9333,6.95,16.99,83,75,5.66,DE,1687491659
276,homer,59.6425,-151.5483,15.58,84,100,2.68,US,1687492130
277,apt,43.8833,5.4,18.16,94,3,3.7,FR,1687492131
278,wolmaransstad,-27.1974,25.9831,7.95,32,0,4.69,ZA,1687492131
279,xiaoweizhai,26.1903,107.5125,20.1,98,100,1.05,CN,1687492131
280,mambajao,9.2504,124.7156,27.87,77,96,0.8,PH,1687492132
281,kailua-kona,19.6406,-155.9956,27.98,82,40,5.14,US,1687491883
282,port douglas,-16.4833,145.4667,24.75,63,91,3.35,AU,1687492006
283,maracacume,-2.0428,-45.9592,22.06,94,15,0.68,BR,1687492132
284,yaren,-0.5472,166.916,28.96,71,96,3.61,NR,1687492133
285,ouadda,8.0777,22.4007,19.25,99,100,1.09,CF,1687492133
286,extrema,-22.8547,-46.3183,12.62,77,9,2.1,BR,1687492134
287,arno,60.1167,18.6333,15.36,74,51,1.71,SE,1687492134
288,afif,23.9065,42.9172,30.54,11,0,2.02,SA,1687492134
289,lusaka,-15.4067,28.2871,12.11,74,0,4.19,ZM,1687492134
290,kongsberg,59.6652,9.6465,13.87,31,0,1.73,NO,1687492135
291,howrah,22.5892,88.3103,31.0,79,75,1.54,IN,1687491992
292,balsas,-7.5325,-46.0356,22.69,55,24,1.96,BR,1687492135
293,smithers,54.7804,-127.1743,26.18,27,20,6.17,CA,1687492135
294,bratsk,56.1325,101.6142,20.27,45,9,0.24,RU,1687492136
295,luderitz,-26.6481,15.1594,15.06,53,0,2.14,NA,1687492087
296,zaozersk,69.4005,32.4476,16.26,55,9,3.7,RU,1687492136
297,beau vallon,-20.4189,57.6953,22.34,64,40,3.6,MU,1687492136
298,nova sintra,14.8667,-24.7167,20.99,85,1,7.63,CV,1687492137
299,guia lopes da laguna,-21.4578,-56.1142,18.92,73,32,1.51,BR,1687492137
300,vila velha,-20.3297,-40.2925,17.75,86,0,1.03,BR,1687492137
301,callao,-12.0667,-77.15,21.16,68,100,5.66,PE,1687492137
302,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1687492094
303,tubarjal,30.4999,38.216,24.75,31,0,6.29,SA,1687492138
304,at taj,24.2049,23.2857,24.23,26,0,3.0,LY,1687492138
305,mejit,10.2753,170.8646,28.31,76,37,6.05,MH,1687492138
306,chilliwack,49.1747,-121.9443,20.85,78,17,0.51,CA,1687491993
307,ola,59.5833,151.2833,26.75,74,63,3.51,RU,1687492138
308,senanga,-16.1167,23.2667,9.46,45,0,2.67,ZM,1687492139
309,sao gabriel da cachoeira,-0.1303,-67.0892,22.48,99,100,0.22,BR,1687492139
310,chishmy,54.5765,55.3764,13.13,60,83,0.99,RU,1687492139
311,kebili,33.7044,8.969,25.13,43,0,4.13,TN,1687492139
312,pangody,65.85,74.4859,2.14,90,100,4.15,RU,1687492139
313,bowleys quarters,39.3354,-76.3902,18.94,90,100,4.92,US,1687492140
314,port sudan,19.6175,37.2164,30.55,53,0,0.51,SD,1687492140
315,piti village,13.4626,144.6933,31.28,77,97,7.56,GU,1687492140
316,alo,7.4178,6.7371,22.91,98,75,0.92,NG,1687492140
317,krusevac,43.58,21.3339,20.2,89,1,1.5,RS,1687492140
318,gornopravdinsk,60.05,69.9,10.63,56,69,3.88,RU,1687492140
319,zhabinka,52.1984,24.0115,16.44,82,71,2.41,BY,1687492141
320,kiunga,-6.1219,141.2906,28.77,67,100,1.38,PG,1687492141
321,am timan,11.0297,20.2827,25.05,77,100,1.99,TD,1687492128
322,hinton,53.4001,-117.5857,10.79,97,100,2.18,CA,1687492141
323,flatwoods,38.5226,-82.7171,18.76,96,100,0.0,US,1687492142
324,darnah,32.767,22.6367,23.0,77,0,5.86,LY,1687492142
325,sao paulo de olivenca,-3.3783,-68.8725,22.42,98,100,0.4,BR,1687492142
326,ulladulla,-35.35,150.4667,15.95,42,36,5.98,AU,1687492110
327,slavyanka,42.8633,131.3847,18.69,81,99,3.41,RU,1687492143
328,ostersund,63.1792,14.6357,11.45,37,75,3.09,SE,1687492143
329,dryden,49.7833,-92.7503,14.86,93,100,2.84,CA,1687492143
330,aral,40.5156,81.2636,31.07,19,97,3.65,CN,1687492144
331,atafu village,-8.5421,-172.5159,28.39,68,32,4.83,TK,1687492100
332,walvis bay,-22.9575,14.5053,11.16,100,100,3.6,NA,1687492145
333,happy valley-goose bay,53.3168,-60.3315,13.17,94,100,1.03,CA,1687492145
334,fauske,67.2588,15.3918,12.47,97,100,2.98,NO,1687492145
335,el nido,11.1858,119.3956,28.73,73,100,0.95,PH,1687492145
336,pemangkat,1.1667,108.9667,30.28,65,34,2.08,ID,1687492146
337,al kharijah,25.4514,30.5464,24.79,33,0,2.89,EG,1687492146
338,ulsteinvik,62.3432,5.8487,13.84,89,60,5.81,NO,1687492146
339,villa gesell,-37.2639,-56.973,9.67,88,88,5.36,AR,1687492146
340,ginir,7.1333,40.7,14.04,88,100,2.29,ET,1687492147
341,hell-ville,-13.4,48.2667,19.93,72,20,0.0,MG,1687492147
342,genhe,50.7833,121.5167,27.61,22,93,1.18,CN,1687492148
343,eraan,9.0629,117.7016,28.92,71,99,0.48,PH,1687492148
344,port saint john's,-31.6229,29.5448,12.74,73,4,3.15,ZA,1687492148
345,lodja,-3.4833,23.4333,21.01,96,100,0.41,CD,1687492148
346,itaituba,-4.2761,-55.9836,24.58,79,65,0.53,BR,1687492148
347,mudu,31.252,120.5118,25.97,65,100,5.24,CN,1687492149
348,eyl,7.9803,49.8164,26.32,61,13,9.78,SO,1687492149
349,kapa'a,22.0752,-159.319,29.99,78,75,8.23,US,1687492150
350,turka,49.1541,23.0297,18.97,95,45,2.09,UA,1687492150
351,zabid,14.1951,43.3152,30.51,68,1,3.17,YE,1687492151
352,nova vicosa,-17.8919,-39.3719,21.55,69,16,2.42,BR,1687492151
